provincia,partido,localidad,tecnologia,link_indec,accesos
Buenos Aires,25 de Mayo,25 de Mayo,ADSL,6854100,529
Buenos Aires,25 de Mayo,25 de Mayo,CABLEMODEM,6854100,4600
Buenos Aires,25 de Mayo,25 de Mayo,FIBRA OPTICA,6854100,4
Buenos Aires,25 de Mayo,25 de Mayo,SATELITAL,6854100,895
Buenos Aires,25 de Mayo,25 de Mayo,WIRELESS,6854100,727
Buenos Aires,25 de Mayo,Agustín Mosconi,SATELITAL,6854010,13
Buenos Aires,25 de Mayo,Del Valle,ADSL,6854020,181
Buenos Aires,25 de Mayo,Del Valle,Otros,6854020,10
Buenos Aires,25 de Mayo,Del Valle,SATELITAL,6854020,18
Buenos Aires,25 de Mayo,Ernestina,ADSL,6854030,75
Buenos Aires,25 de Mayo,Ernestina,SATELITAL,6854030,7
Buenos Aires,25 de Mayo,Gobernador Ugarte,FIBRA OPTICA,6854040,7
Buenos Aires,25 de Mayo,Gobernador Ugarte,SATELITAL,6854040,8
Buenos Aires,25 de Mayo,Gobernador Ugarte,WIRELESS,6854040,225
Buenos Aires,25 de Mayo,Lucas Monteverde,SATELITAL,6854050,13
Buenos Aires,25 de Mayo,Norberto de la Riestra,CABLEMODEM,6854060,782
Buenos Aires,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,6854060,950
Buenos Aires,25 de Mayo,Norberto de la Riestra,Otros,6854060,20
Buenos Aires,25 de Mayo,Norberto de la Riestra,SATELITAL,6854060,29
Buenos Aires,25 de Mayo,Norberto de la Riestra,WIRELESS,6854060,128
Buenos Aires,25 de Mayo,Pedernales,ADSL,6854070,372
Buenos Aires,25 de Mayo,Pedernales,FIBRA OPTICA,6854070,240
Buenos Aires,25 de Mayo,Pedernales,SATELITAL,6854070,10
Buenos Aires,25 de Mayo,Pedernales,WIRELESS,6854070,7
Buenos Aires,25 de Mayo,San Enrique,SATELITAL,6854080,17
Buenos Aires,25 de Mayo,Valdés,SATELITAL,6854090,23
Buenos Aires,9 de Julio,12 de Octubre,SATELITAL,6588030,17
Buenos Aires,9 de Julio,12 de Octubre,WIRELESS,6588030,19
Buenos Aires,9 de Julio,9 de Julio,ADSL,6588100,3147
Buenos Aires,9 de Julio,9 de Julio,CABLEMODEM,6588100,3443
Buenos Aires,9 de Julio,9 de Julio,DIAL UP,6588100,79
Buenos Aires,9 de Julio,9 de Julio,FIBRA OPTICA,6588100,8778
Buenos Aires,9 de Julio,9 de Julio,SATELITAL,6588100,69
Buenos Aires,9 de Julio,9 de Julio,WIRELESS,6588100,831
Buenos Aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),ADSL,6588010,450
Buenos Aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),Otros,6588010,60
Buenos Aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),SATELITAL,6588010,15
Buenos Aires,9 de Julio,Carlos María Naón,FIBRA OPTICA,6588020,62
Buenos Aires,9 de Julio,Carlos María Naón,SATELITAL,6588020,10
Buenos Aires,9 de Julio,Dudignac,SATELITAL,6588040,12
Buenos Aires,9 de Julio,Dudignac,WIRELESS,6588040,474
Buenos Aires,9 de Julio,La Aurora  (Est. La Niña),SATELITAL,6588050,13
Buenos Aires,9 de Julio,Manuel B. Gonnet  (Est. French),ADSL,6588060,193
Buenos Aires,9 de Julio,Manuel B. Gonnet  (Est. French),FIBRA OPTICA,6588060,1
Buenos Aires,9 de Julio,Manuel B. Gonnet  (Est. French),SATELITAL,6588060,17
Buenos Aires,9 de Julio,Marcelino Ugarte  (Est. Dennehy),SATELITAL,6588070,5
Buenos Aires,9 de Julio,Morea,SATELITAL,6588080,4
Buenos Aires,9 de Julio,Morea,WIRELESS,6588080,130
Buenos Aires,9 de Julio,Norumbega,SATELITAL,6588090,8
Buenos Aires,9 de Julio,Patricios,ADSL,6588110,90
Buenos Aires,9 de Julio,Patricios,FIBRA OPTICA,6588110,2
Buenos Aires,9 de Julio,Patricios,SATELITAL,6588110,7
Buenos Aires,9 de Julio,Patricios,WIRELESS,6588110,50
Buenos Aires,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),FIBRA OPTICA,6588120,210
Buenos Aires,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),SATELITAL,6588120,8
Buenos Aires,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),WIRELESS,6588120,42
Buenos Aires,Adolfo Alsina,Carhué,ADSL,6007010,732
Buenos Aires,Adolfo Alsina,Carhué,DIAL UP,6007010,1
Buenos Aires,Adolfo Alsina,Carhué,FIBRA OPTICA,6007010,1417
Buenos Aires,Adolfo Alsina,Carhué,Otros,6007010,1
Buenos Aires,Adolfo Alsina,Carhué,SATELITAL,6007010,25
Buenos Aires,Adolfo Alsina,Carhué,WIRELESS,6007010,1073
Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,FIBRA OPTICA,6007020,208
Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,SATELITAL,6007020,9
Buenos Aires,Adolfo Alsina,Delfín Huergo,SATELITAL,6007030,4
Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,FIBRA OPTICA,6007050,60
Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,SATELITAL,6007050,3
Buenos Aires,Adolfo Alsina,La Pala,SATELITAL,6007060,3
Buenos Aires,Adolfo Alsina,Maza,FIBRA OPTICA,6007070,390
Buenos Aires,Adolfo Alsina,Maza,SATELITAL,6007070,17
Buenos Aires,Adolfo Alsina,Maza,WIRELESS,6007070,14
Buenos Aires,Adolfo Alsina,Rivera,FIBRA OPTICA,6007080,1310
Buenos Aires,Adolfo Alsina,Rivera,SATELITAL,6007080,9
Buenos Aires,Adolfo Alsina,Thames,SATELITAL,6007010,3
Buenos Aires,Adolfo Alsina,Villa Margarita,SATELITAL,6007100,2
Buenos Aires,Adolfo Alsina,Yutuyaco,SATELITAL,6007110,18
Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),ADSL,6014010,355
Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),DIAL UP,6014010,2
Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),FIBRA OPTICA,6014010,943
Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),SATELITAL,6014010,34
Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),WIRELESS,6014010,690
Buenos Aires,Adolfo Gonzales Chaves,De la Garma,FIBRA OPTICA,6014020,689
Buenos Aires,Adolfo Gonzales Chaves,De la Garma,SATELITAL,6014020,18
Buenos Aires,Adolfo Gonzales Chaves,De la Garma,WIRELESS,6014020,53
Buenos Aires,Adolfo Gonzales Chaves,Juan E. Barra,SATELITAL,6014030,13
Buenos Aires,Adolfo Gonzales Chaves,Juan E. Barra,WIRELESS,6014030,48
Buenos Aires,Adolfo Gonzales Chaves,Vásquez,SATELITAL,6014040,3
Buenos Aires,Adolfo Gonzales Chaves,Vásquez,WIRELESS,6014040,14
Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),ADSL,6021010,199
Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),DIAL UP,6021010,5
Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),FIBRA OPTICA,6021010,1
Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),SATELITAL,6021010,16
Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),WIRELESS,6021010,2
Buenos Aires,Alberti,Coronel Seguí,SATELITAL,6021020,2
Buenos Aires,Alberti,Coronel Seguí,WIRELESS,6021020,5
Buenos Aires,Alberti,Mechita,ADSL,6021030,285
Buenos Aires,Alberti,Mechita,SATELITAL,6021030,7
Buenos Aires,Alberti,Pla,SATELITAL,6021040,4
Buenos Aires,Alberti,Villa Grisolía  (Est. Achupallas),SATELITAL,6021050,9
Buenos Aires,Alberti,Villa María,SATELITAL,6021060,1
Buenos Aires,Alberti,Villa Ortiz  (Est. Coronel Mom),SATELITAL,6021070,1
Buenos Aires,Alberti,Villa Ortiz  (Est. Coronel Mom),WIRELESS,6021070,24
Buenos Aires,Almirante Brown,Adrogué,ADSL,6028010,17
Buenos Aires,Almirante Brown,Adrogué,CABLEMODEM,6028010,9137
Buenos Aires,Almirante Brown,Adrogué,DIAL UP,6028010,47
Buenos Aires,Almirante Brown,Adrogué,FIBRA OPTICA,6028010,13738
Buenos Aires,Almirante Brown,Adrogué,Otros,6028010,103
Buenos Aires,Almirante Brown,Adrogué,SATELITAL,6028010,17
Buenos Aires,Almirante Brown,Adrogué,WIRELESS,6028010,26
Buenos Aires,Almirante Brown,Burzaco,ADSL,6028010,29
Buenos Aires,Almirante Brown,Burzaco,CABLEMODEM,6028010,16071
Buenos Aires,Almirante Brown,Burzaco,DIAL UP,6028010,35
Buenos Aires,Almirante Brown,Burzaco,FIBRA OPTICA,6028010,14148
Buenos Aires,Almirante Brown,Burzaco,Otros,6028010,9
Buenos Aires,Almirante Brown,Burzaco,SATELITAL,6028010,43
Buenos Aires,Almirante Brown,Burzaco,WIRELESS,6028010,279
Buenos Aires,Almirante Brown,Claypole,ADSL,6028010,3
Buenos Aires,Almirante Brown,Claypole,CABLEMODEM,6028010,7533
Buenos Aires,Almirante Brown,Claypole,DIAL UP,6028010,3
Buenos Aires,Almirante Brown,Claypole,FIBRA OPTICA,6028010,5217
Buenos Aires,Almirante Brown,Claypole,Otros,6028010,2
Buenos Aires,Almirante Brown,Claypole,SATELITAL,6028010,2
Buenos Aires,Almirante Brown,Claypole,WIRELESS,6028010,2
Buenos Aires,Almirante Brown,Don Orione,CABLEMODEM,6028010,5404
Buenos Aires,Almirante Brown,Don Orione,Otros,6028010,25
Buenos Aires,Almirante Brown,Don Orione,SATELITAL,6028010,11
Buenos Aires,Almirante Brown,Don Orione,WIRELESS,6028010,1
Buenos Aires,Almirante Brown,Glew,CABLEMODEM,6028010,8757
Buenos Aires,Almirante Brown,Glew,DIAL UP,6028010,9
Buenos Aires,Almirante Brown,Glew,FIBRA OPTICA,6028010,13483
Buenos Aires,Almirante Brown,Glew,SATELITAL,6028010,16
Buenos Aires,Almirante Brown,Glew,WIRELESS,6028010,54
Buenos Aires,Almirante Brown,Jose Mármol,CABLEMODEM,6028010,7267
Buenos Aires,Almirante Brown,Jose Mármol,DIAL UP,6028010,1
Buenos Aires,Almirante Brown,Jose Mármol,FIBRA OPTICA,6028010,1877
Buenos Aires,Almirante Brown,Jose Mármol,Otros,6028010,2
Buenos Aires,Almirante Brown,Jose Mármol,SATELITAL,6028010,2
Buenos Aires,Almirante Brown,Jose Mármol,WIRELESS,6028010,1
Buenos Aires,Almirante Brown,Longchamps,ADSL,6028010,14
Buenos Aires,Almirante Brown,Longchamps,CABLEMODEM,6028010,8882
Buenos Aires,Almirante Brown,Longchamps,DIAL UP,6028010,20
Buenos Aires,Almirante Brown,Longchamps,FIBRA OPTICA,6028010,9572
Buenos Aires,Almirante Brown,Longchamps,Otros,6028010,24
Buenos Aires,Almirante Brown,Longchamps,SATELITAL,6028010,16
Buenos Aires,Almirante Brown,Longchamps,WIRELESS,6028010,1
Buenos Aires,Almirante Brown,Malvinas Argentinas,ADSL,6028010,1
Buenos Aires,Almirante Brown,Malvinas Argentinas,CABLEMODEM,6028010,4545
Buenos Aires,Almirante Brown,Malvinas Argentinas,DIAL UP,6028010,2
Buenos Aires,Almirante Brown,Malvinas Argentinas,FIBRA OPTICA,6028010,1960
Buenos Aires,Almirante Brown,Malvinas Argentinas,Otros,6028010,4
Buenos Aires,Almirante Brown,Malvinas Argentinas,SATELITAL,6028010,5
Buenos Aires,Almirante Brown,Malvinas Argentinas,WIRELESS,6028010,1
Buenos Aires,Almirante Brown,Ministro Rivadavia,ADSL,6028010,2
Buenos Aires,Almirante Brown,Ministro Rivadavia,CABLEMODEM,6028010,3489
Buenos Aires,Almirante Brown,Ministro Rivadavia,DIAL UP,6028010,3
Buenos Aires,Almirante Brown,Ministro Rivadavia,FIBRA OPTICA,6028010,5001
Buenos Aires,Almirante Brown,Ministro Rivadavia,Otros,6028010,1
Buenos Aires,Almirante Brown,Ministro Rivadavia,SATELITAL,6028010,19
Buenos Aires,Almirante Brown,Ministro Rivadavia,WIRELESS,6028010,1
Buenos Aires,Almirante Brown,Rafael Calzada,ADSL,6028010,7
Buenos Aires,Almirante Brown,Rafael Calzada,CABLEMODEM,6028010,10808
Buenos Aires,Almirante Brown,Rafael Calzada,DIAL UP,6028010,14
Buenos Aires,Almirante Brown,Rafael Calzada,FIBRA OPTICA,6028010,11227
Buenos Aires,Almirante Brown,Rafael Calzada,Otros,6028010,1
Buenos Aires,Almirante Brown,Rafael Calzada,SATELITAL,6028010,3
Buenos Aires,Almirante Brown,Rafael Calzada,WIRELESS,6028010,340
Buenos Aires,Almirante Brown,San Francisco Solano,ADSL,6028010,2
Buenos Aires,Almirante Brown,San Francisco Solano,CABLEMODEM,6028010,4234
Buenos Aires,Almirante Brown,San Francisco Solano,DIAL UP,6028010,4
Buenos Aires,Almirante Brown,San Francisco Solano,FIBRA OPTICA,6028010,6037
Buenos Aires,Almirante Brown,San Francisco Solano,Otros,6028010,1
Buenos Aires,Almirante Brown,San Francisco Solano,SATELITAL,6028010,1
Buenos Aires,Almirante Brown,San Francisco Solano,WIRELESS,6028010,2
Buenos Aires,Almirante Brown,San Jose,ADSL,6028010,1
Buenos Aires,Almirante Brown,San Jose,CABLEMODEM,6028010,8640
Buenos Aires,Almirante Brown,San Jose,DIAL UP,6028010,1
Buenos Aires,Almirante Brown,San Jose,FIBRA OPTICA,6028010,1845
Buenos Aires,Almirante Brown,San Jose,Otros,6028010,1
Buenos Aires,Almirante Brown,San Jose,SATELITAL,6028010,8
Buenos Aires,Almirante Brown,San Jose,WIRELESS,6028010,1
Buenos Aires,AMBA,Otros,CABLEMODEM,0,0
Buenos Aires,AMBA,Otros,OTROS,0,0
Buenos Aires,AMBA,Otros,WIRELESS,0,13
Buenos Aires,Arrecifes,Arrecifes,ADSL,6077010,615
Buenos Aires,Arrecifes,Arrecifes,CABLEMODEM,6077010,1295
Buenos Aires,Arrecifes,Arrecifes,DIAL UP,6077010,12
Buenos Aires,Arrecifes,Arrecifes,FIBRA OPTICA,6077010,7422
Buenos Aires,Arrecifes,Arrecifes,SATELITAL,6077010,74
Buenos Aires,Arrecifes,Arrecifes,WIRELESS,6077010,1210
Buenos Aires,Arrecifes,Todd,FIBRA OPTICA,6077020,353
Buenos Aires,Arrecifes,Todd,SATELITAL,6077020,4
Buenos Aires,Arrecifes,Viña,ADSL,6077030,50
Buenos Aires,Arrecifes,Viña,SATELITAL,6077030,8
Buenos Aires,Arrecifes,Viña,WIRELESS,6077030,25
Buenos Aires,Avellaneda,Area Reserva Cinturón Ecológico,SATELITAL,6035010,25
Buenos Aires,Avellaneda,Avellaneda,ADSL,6035010,119
Buenos Aires,Avellaneda,Avellaneda,CABLEMODEM,6035010,8282
Buenos Aires,Avellaneda,Avellaneda,DIAL UP,6035010,42
Buenos Aires,Avellaneda,Avellaneda,FIBRA OPTICA,6035010,9010
Buenos Aires,Avellaneda,Avellaneda,Otros,6035010,85
Buenos Aires,Avellaneda,Avellaneda,SATELITAL,6035010,36
Buenos Aires,Avellaneda,Avellaneda,WIRELESS,6035010,71
Buenos Aires,Avellaneda,Crucesita,ADSL,6035010,1
Buenos Aires,Avellaneda,Crucesita,CABLEMODEM,6035010,4686
Buenos Aires,Avellaneda,Crucesita,FIBRA OPTICA,6035010,3297
Buenos Aires,Avellaneda,Crucesita,Otros,6035010,37
Buenos Aires,Avellaneda,Crucesita,SATELITAL,6035010,10
Buenos Aires,Avellaneda,Dock Sud,ADSL,6035010,11
Buenos Aires,Avellaneda,Dock Sud,CABLEMODEM,6035010,593
Buenos Aires,Avellaneda,Dock Sud,FIBRA OPTICA,6035010,1913
Buenos Aires,Avellaneda,Dock Sud,SATELITAL,6035010,51
Buenos Aires,Avellaneda,Dock Sud,WIRELESS,6035010,26
Buenos Aires,Avellaneda,Gerli,ADSL,6035010,3
Buenos Aires,Avellaneda,Gerli,CABLEMODEM,6035010,5420
Buenos Aires,Avellaneda,Gerli,FIBRA OPTICA,6035010,5103
Buenos Aires,Avellaneda,Gerli,Otros,6035010,4
Buenos Aires,Avellaneda,Gerli,SATELITAL,6035010,15
Buenos Aires,Avellaneda,Pineyro,ADSL,6035010,9
Buenos Aires,Avellaneda,Pineyro,CABLEMODEM,6035010,5359
Buenos Aires,Avellaneda,Pineyro,DIAL UP,6035010,1
Buenos Aires,Avellaneda,Pineyro,FIBRA OPTICA,6035010,2858
Buenos Aires,Avellaneda,Pineyro,Otros,6035010,3
Buenos Aires,Avellaneda,Pineyro,SATELITAL,6035010,9
Buenos Aires,Avellaneda,Sarandí,ADSL,6035010,23
Buenos Aires,Avellaneda,Sarandí,CABLEMODEM,6035010,8997
Buenos Aires,Avellaneda,Sarandí,DIAL UP,6035010,56
Buenos Aires,Avellaneda,Sarandí,FIBRA OPTICA,6035010,15854
Buenos Aires,Avellaneda,Sarandí,Otros,6035010,37
Buenos Aires,Avellaneda,Sarandí,SATELITAL,6035010,31
Buenos Aires,Avellaneda,Sarandí,WIRELESS,6035010,1
Buenos Aires,Avellaneda,Villa Domínico,ADSL,6035010,15
Buenos Aires,Avellaneda,Villa Domínico,CABLEMODEM,6035010,8007
Buenos Aires,Avellaneda,Villa Domínico,DIAL UP,6035010,2
Buenos Aires,Avellaneda,Villa Domínico,FIBRA OPTICA,6035010,7693
Buenos Aires,Avellaneda,Villa Domínico,Otros,6035010,8
Buenos Aires,Avellaneda,Villa Domínico,SATELITAL,6035010,17
Buenos Aires,Avellaneda,Villa Domínico,WIRELESS,6035010,572
Buenos Aires,Avellaneda,Wilde,ADSL,6035010,9
Buenos Aires,Avellaneda,Wilde,CABLEMODEM,6035010,11565
Buenos Aires,Avellaneda,Wilde,DIAL UP,6035010,60
Buenos Aires,Avellaneda,Wilde,FIBRA OPTICA,6035010,19201
Buenos Aires,Avellaneda,Wilde,Otros,6035010,4
Buenos Aires,Avellaneda,Wilde,SATELITAL,6035010,17
Buenos Aires,Avellaneda,Wilde,WIRELESS,6035010,114
Buenos Aires,Ayacucho,Ayacucho,ADSL,6042010,1439
Buenos Aires,Ayacucho,Ayacucho,DIAL UP,6042010,2
Buenos Aires,Ayacucho,Ayacucho,FIBRA OPTICA,6042010,1
Buenos Aires,Ayacucho,Ayacucho,SATELITAL,6042010,85
Buenos Aires,Ayacucho,Ayacucho,WIRELESS,6042010,142
Buenos Aires,Ayacucho,La Constancia,SATELITAL,6042020,25
Buenos Aires,Ayacucho,La Constancia,WIRELESS,6042020,10
Buenos Aires,Ayacucho,Solanet,SATELITAL,6042030,27
Buenos Aires,Ayacucho,Solanet,WIRELESS,6042030,27
Buenos Aires,Ayacucho,Udaquiola,SATELITAL,6042040,32
Buenos Aires,Ayacucho,Udaquiola,WIRELESS,6042040,46
Buenos Aires,Azul,16 de Julio,SATELITAL,6049050,7
Buenos Aires,Azul,Ariel,SATELITAL,6049010,5
Buenos Aires,Azul,Azul,ADSL,6049020,615
Buenos Aires,Azul,Azul,CABLEMODEM,6049020,15377
Buenos Aires,Azul,Azul,DIAL UP,6049020,46
Buenos Aires,Azul,Azul,FIBRA OPTICA,6049020,79
Buenos Aires,Azul,Azul,Otros,6049020,14
Buenos Aires,Azul,Azul,SATELITAL,6049020,168
Buenos Aires,Azul,Azul,WIRELESS,6049020,1145
Buenos Aires,Azul,Cacharí,DIAL UP,6049030,2
Buenos Aires,Azul,Cacharí,SATELITAL,6049030,42
Buenos Aires,Azul,Cacharí,WIRELESS,6049030,521
Buenos Aires,Azul,Chillar,FIBRA OPTICA,6049040,1
Buenos Aires,Azul,Chillar,SATELITAL,6049040,64
Buenos Aires,Azul,Chillar,WIRELESS,6049040,565
Buenos Aires,Bahía Blanca,Bahía Blanca,ADSL,6056010,2090
Buenos Aires,Bahía Blanca,Bahía Blanca,CABLEMODEM,6056010,100151
Buenos Aires,Bahía Blanca,Bahía Blanca,DIAL UP,6056010,360
Buenos Aires,Bahía Blanca,Bahía Blanca,FIBRA OPTICA,6056010,22670
Buenos Aires,Bahía Blanca,Bahía Blanca,Otros,6056010,61
Buenos Aires,Bahía Blanca,Bahía Blanca,SATELITAL,6056010,466
Buenos Aires,Bahía Blanca,Bahía Blanca,WIRELESS,6056010,3657
Buenos Aires,Bahía Blanca,Cabildo,CABLEMODEM,6056020,193
Buenos Aires,Bahía Blanca,Cabildo,DIAL UP,6056020,4
Buenos Aires,Bahía Blanca,Cabildo,FIBRA OPTICA,6056020,210
Buenos Aires,Bahía Blanca,Cabildo,Otros,6056020,1
Buenos Aires,Bahía Blanca,Cabildo,SATELITAL,6056020,5
Buenos Aires,Bahía Blanca,Cabildo,WIRELESS,6056020,66
Buenos Aires,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),ADSL,6056030,191
Buenos Aires,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),CABLEMODEM,6056030,1746
Buenos Aires,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),FIBRA OPTICA,6056030,2
Buenos Aires,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),SATELITAL,6056030,53
Buenos Aires,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),WIRELESS,6056030,14
Buenos Aires,Bahía Blanca,Grunbein,SATELITAL,6056020,93
Buenos Aires,Bahía Blanca,Ingeniero White,FIBRA OPTICA,6056020,1
Buenos Aires,Bahía Blanca,Ingeniero White,SATELITAL,6056020,70
Buenos Aires,Bahía Blanca,Villa Bordeau,SATELITAL,6056020,53
Buenos Aires,Bahía Blanca,Villa Espora,SATELITAL,6056020,5
Buenos Aires,Balcarce,Balcarce,ADSL,6063010,1038
Buenos Aires,Balcarce,Balcarce,CABLEMODEM,6063010,12098
Buenos Aires,Balcarce,Balcarce,DIAL UP,6063010,32
Buenos Aires,Balcarce,Balcarce,FIBRA OPTICA,6063010,45
Buenos Aires,Balcarce,Balcarce,Otros,6063010,9
Buenos Aires,Balcarce,Balcarce,SATELITAL,6063010,195
Buenos Aires,Balcarce,Balcarce,WIRELESS,6063010,883
Buenos Aires,Balcarce,Los Pinos,Otros,6063020,9
Buenos Aires,Balcarce,Los Pinos,SATELITAL,6063020,18
Buenos Aires,Balcarce,Los Pinos,WIRELESS,6063020,30
Buenos Aires,Balcarce,Napaleofú,FIBRA OPTICA,6063030,15
Buenos Aires,Balcarce,Napaleofú,SATELITAL,6063030,21
Buenos Aires,Balcarce,Napaleofú,WIRELESS,6063030,128
Buenos Aires,Balcarce,Ramos Otero,SATELITAL,6063040,22
Buenos Aires,Balcarce,Ramos Otero,WIRELESS,6063040,8
Buenos Aires,Balcarce,San Agustín,Otros,6063050,3
Buenos Aires,Balcarce,San Agustín,SATELITAL,6063050,14
Buenos Aires,Balcarce,San Agustín,WIRELESS,6063050,72
Buenos Aires,Balcarce,Villa Laguna La Brava,SATELITAL,6063060,34
Buenos Aires,Balcarce,Villa Laguna La Brava,WIRELESS,6063060,42
Buenos Aires,Baradero,Baradero,ADSL,6070010,573
Buenos Aires,Baradero,Baradero,CABLEMODEM,6070010,7513
Buenos Aires,Baradero,Baradero,FIBRA OPTICA,6070010,209
Buenos Aires,Baradero,Baradero,SATELITAL,6070010,165
Buenos Aires,Baradero,Baradero,WIRELESS,6070010,1858
Buenos Aires,Baradero,Irineo Portela,SATELITAL,6070020,22
Buenos Aires,Baradero,Irineo Portela,WIRELESS,6070020,78
Buenos Aires,Baradero,Santa Coloma,SATELITAL,6070030,35
Buenos Aires,Baradero,Santa Coloma,WIRELESS,6070030,55
Buenos Aires,Baradero,Villa Alsina  (Est. Alsina),ADSL,6070040,79
Buenos Aires,Baradero,Villa Alsina  (Est. Alsina),FIBRA OPTICA,6070040,1
Buenos Aires,Baradero,Villa Alsina  (Est. Alsina),Otros,6070040,10
Buenos Aires,Baradero,Villa Alsina  (Est. Alsina),SATELITAL,6070040,31
Buenos Aires,Baradero,Villa Alsina  (Est. Alsina),WIRELESS,6070040,248
Buenos Aires,Benito Juárez,Barker,DIAL UP,6084010,1
Buenos Aires,Benito Juárez,Barker,FIBRA OPTICA,6084010,11
Buenos Aires,Benito Juárez,Barker,SATELITAL,6084010,9
Buenos Aires,Benito Juárez,Barker,WIRELESS,6084010,70
Buenos Aires,Benito Juárez,Benito Juárez  (Est. Juárez),ADSL,6084020,279
Buenos Aires,Benito Juárez,Benito Juárez  (Est. Juárez),DIAL UP,6084020,13
Buenos Aires,Benito Juárez,Benito Juárez  (Est. Juárez),FIBRA OPTICA,6084020,563
Buenos Aires,Benito Juárez,Benito Juárez  (Est. Juárez),Otros,6084020,4
Buenos Aires,Benito Juárez,Benito Juárez  (Est. Juárez),SATELITAL,6084020,39
Buenos Aires,Benito Juárez,Benito Juárez  (Est. Juárez),WIRELESS,6084020,147
Buenos Aires,Benito Juárez,López,SATELITAL,6084030,7
Buenos Aires,Benito Juárez,López,WIRELESS,6084030,12
Buenos Aires,Benito Juárez,Tedín Uriburu,SATELITAL,6084040,20
Buenos Aires,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),FIBRA OPTICA,6084050,20
Buenos Aires,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),SATELITAL,6084050,9
Buenos Aires,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),WIRELESS,6084050,100
Buenos Aires,Berazategui,Berazategui,ADSL,6091010,12
Buenos Aires,Berazategui,Berazategui,CABLEMODEM,6091010,15917
Buenos Aires,Berazategui,Berazategui,DIAL UP,6091010,38
Buenos Aires,Berazategui,Berazategui,FIBRA OPTICA,6091010,32527
Buenos Aires,Berazategui,Berazategui,Otros,6091010,10
Buenos Aires,Berazategui,Berazategui,SATELITAL,6091010,33
Buenos Aires,Berazategui,Berazategui,WIRELESS,6091010,49
Buenos Aires,Berazategui,Berazategui Oeste,ADSL,6091010,16
Buenos Aires,Berazategui,Berazategui Oeste,CABLEMODEM,6091010,173
Buenos Aires,Berazategui,Berazategui Oeste,FIBRA OPTICA,6091010,16247
Buenos Aires,Berazategui,Berazategui Oeste,SATELITAL,6091010,10
Buenos Aires,Berazategui,Carlos Tomás Sourigues,ADSL,6091010,1
Buenos Aires,Berazategui,Carlos Tomás Sourigues,CABLEMODEM,6091010,1293
Buenos Aires,Berazategui,Carlos Tomás Sourigues,FIBRA OPTICA,6091010,2279
Buenos Aires,Berazategui,Carlos Tomás Sourigues,Otros,6091010,2
Buenos Aires,Berazategui,Carlos Tomás Sourigues,SATELITAL,6091010,11
Buenos Aires,Berazategui,Centro Agrícola El Pato,ADSL,6091010,1332
Buenos Aires,Berazategui,Centro Agrícola El Pato,CABLEMODEM,6091010,2402
Buenos Aires,Berazategui,Centro Agrícola El Pato,FIBRA OPTICA,6091010,673
Buenos Aires,Berazategui,Centro Agrícola El Pato,SATELITAL,6091010,78
Buenos Aires,Berazategui,Centro Agrícola El Pato,WIRELESS,6091010,16
Buenos Aires,Berazategui,Guillermo E. Hudson,ADSL,6091010,23
Buenos Aires,Berazategui,Guillermo E. Hudson,CABLEMODEM,6091010,5662
Buenos Aires,Berazategui,Guillermo E. Hudson,DIAL UP,6091010,2
Buenos Aires,Berazategui,Guillermo E. Hudson,FIBRA OPTICA,6091010,10918
Buenos Aires,Berazategui,Guillermo E. Hudson,Otros,6091010,2
Buenos Aires,Berazategui,Guillermo E. Hudson,SATELITAL,6091010,81
Buenos Aires,Berazategui,Juan María Gutierrez,ADSL,6091010,30
